Unnamed: 0,user_id,age,isbn,rating,book_title,book_author,year_of_publication,publisher,Language,city,state,country
0,2,18.0,0195153448,0,Classical Mythology,Mark P. O. Morford,2002.0,Oxford University Press,en,stockton,california,usa
1,8,34.74389988072476,0002005018,5,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,timmins,ontario,canada
2,11400,49.0,0002005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,ontario,canada
3,11676,34.74389988072476,0002005018,8,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,,,
4,41385,34.74389988072476,0002005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,sudbury,ontario,canada
5,67544,30.0,0002005018,8,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,toronto,ontario,canada
6,85526,36.0,0002005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,victoria,british columbia,canada
7,96054,29.0,0002005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,ontario,canada
8,116866,34.74389988072476,0002005018,9,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,",",
9,123629,34.74389988072476,0002005018,9,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,kingston,ontario,canada
10,177458,29.0,0002005018,0,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,ottawa,ontario,canada
11,200273,34.74389988072476,0002005018,8,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,comber,ontario,canada
12,210926,34.74389988072476,0002005018,9,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,guelph,ontario,canada
13,219008,60.0,0002005018,7,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,halifax,nova scotia,canada
14,263325,27.0,0002005018,6,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,en,fredericton,new brunswick,canada
15,8,34.74389988072476,0060973129,0,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,en,timmins,ontario,canada
16,2954,71.0,0060973129,8,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,en,wichita,kansas,usa
17,152827,40.0,0060973129,7,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,en,ottawa,ontario,canada
18,8,34.74389988072476,0374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,timmins,ontario,canada
19,35704,53.0,0374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,kansas city,missouri,usa
20,83160,65.0,0374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,en,oregon city,oregon,usa
